Part Number,Use for,Capacitance,Tolerance,Size(inch/mm),Rated Vdc,TCC,T Size Max,Features
CL10B822KB8NFN,General,8.2nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL32C822JHJNNW,General,8.2nF, +/-5%,1210/3225,630Vdc,C0G,2.7mm,Features Normal
CL31C822JEHNNW,General,8.2nF, +/-5%,1206/3216,250Vdc,C0G,1.8mm,Features Normal
CL10B822KB8NNW,General,8.2nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL05B682KA5NNN,General,6.8nF, +/-10%,0402/1005,25Vdc,X7R,0.55mm,Features Normal
CL05B682JB5NNW,General,6.8nF, +/-5%,0402/1005,50Vdc,X7R,0.55mm,Features Normal
CL31B682KGFNNN,General,6.8nF, +/-10%,1206/3216,500Vdc,X7R,1.4mm,Features Normal
CL03B682KQ3NNW,General,6.8nF, +/-10%,0201/0603,6.3Vdc,X7R,0.33mm,Features Normal
CL05B682KO5NNW,General,6.8nF, +/-10%,0402/1005,16Vdc,X7R,0.55mm,Features Normal
CL31C682JHHNNN,General,6.8nF, +/-5%,1206/3216,630Vdc,C0G,1.8mm,Features Normal
CL10B682KB8NFN,General,6.8nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL32C682JBFNNW,General,6.8nF, +/-5%,1210/3225,50Vdc,C0G,1.45mm,Features Normal
CL31C682JHHNNW,General,6.8nF, +/-5%,1206/3216,630Vdc,C0G,1.8mm,Features Normal
CL31B682KHFNFN,General,6.8nF, +/-10%,1206/3216,630Vdc,X7R,1.4mm,Features Normal
CL03A682KP3NNW,General,6.8nF, +/-10%,0201/0603,10Vdc,X5R,0.33mm,Features Normal
CL05B682KB5NNN,General,6.8nF, +/-10%,0402/1005,50Vdc,X7R,0.55mm,Features Normal
CL10B682KC8SRN,General,6.8nF, +/-10%,0603/1608,100Vdc,X7R,1mm,Features Normal
CL03B682KP3NNW,General,6.8nF, +/-10%,0201/0603,10Vdc,X7R,0.33mm,Features Normal
CL05B682KA5NNW,General,6.8nF, +/-10%,0402/1005,25Vdc,X7R,0.55mm,Features Normal
CL31C682JEHNNN,General,6.8nF, +/-5%,1206/3216,250Vdc,C0G,1.8mm,Features Normal
CL31C682JEHNNW,General,6.8nF, +/-5%,1206/3216,250Vdc,C0G,1.8mm,Features Normal
CL10B682JB8NNN,General,6.8nF, +/-5%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL10B682KB8NNN,General,6.8nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL31B682KGFNNW,General,6.8nF, +/-10%,1206/3216,500Vdc,X7R,1.4mm,Features Normal
CL31B682KCFNNW,General,6.8nF, +/-10%,1206/3216,100Vdc,X7R,1.4mm,Features Normal
CL05A682KO5NNW,General,6.8nF, +/-10%,0402/1005,16Vdc,X5R,0.55mm,Features Normal
CL10B682JB8N4N,General,6.8nF, +/-5%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL10B682KB8N4N,General,6.8nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL10B682KB8NNW,General,6.8nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL10B682KC8NNW,General,6.8nF, +/-10%,0603/1608,100Vdc,X7R,0.9mm,Features Normal
CL31B682KHFNNW,General,6.8nF, +/-10%,1206/3216,630Vdc,X7R,1.4mm,Features Normal
CL03B682KP3NNN,General,6.8nF, +/-10%,0201/0603,10Vdc,X7R,0.33mm,Features Normal
CL05B682JB5NNN,General,6.8nF, +/-5%,0402/1005,50Vdc,X7R,0.55mm,Features Normal
CL03B682KA3NNW,General,6.8nF, +/-10%,0201/0603,25Vdc,X7R,0.33mm,Features Normal
CL10C682JA8N4N,General,6.8nF, +/-5%,0603/1608,25Vdc,C0G,0.9mm,Features Normal
CL03B682KO3NNW,General,6.8nF, +/-10%,0201/0603,16Vdc,X7R,0.33mm,Features Normal
CL31C682JBHNNN,General,6.8nF, +/-5%,1206/3216,50Vdc,C0G,1.8mm,Features Normal
CL03A682KA3NNN,General,6.8nF, +/-10%,0201/0603,25Vdc,X5R,0.33mm,Features Normal
CL32C682JBFNNN,General,6.8nF, +/-5%,1210/3225,50Vdc,C0G,1.45mm,Features Normal
CL05B682KB5NNW,General,6.8nF, +/-10%,0402/1005,50Vdc,X7R,0.55mm,Features Normal
CL10B682JB8NNW,General,6.8nF, +/-5%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL31C682JBHNNW,General,6.8nF, +/-5%,1206/3216,50Vdc,C0G,1.8mm,Features Normal
CL31B682KBCNNW,General,6.8nF, +/-10%,1206/3216,50Vdc,X7R,1mm,Features Normal
CL31B682KBCNNN,General,6.8nF, +/-10%,1206/3216,50Vdc,X7R,1mm,Features Normal
CL10B562KB8NFN,General,5.6nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL03B562KP3NNW,General,5.6nF, +/-10%,0201/0603,10Vdc,X7R,0.33mm,Features Normal
CL05B562KA5NNW,General,5.6nF, +/-10%,0402/1005,25Vdc,X7R,0.55mm,Features Normal
CL05B562KO5NNW,General,5.6nF, +/-10%,0402/1005,16Vdc,X7R,0.55mm,Features Normal
CL10C562JB8NNW,General,5.6nF, +/-5%,0603/1608,50Vdc,C0G,0.9mm,Features Normal
CL31C562JEHNNW,General,5.6nF, +/-5%,1206/3216,250Vdc,C0G,1.8mm,Features Normal
CL05B562KB5NNW,General,5.6nF, +/-10%,0402/1005,50Vdc,X7R,0.55mm,Features Normal
CL10B562KB8NNN,General,5.6nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL10B562JB8NNW,General,5.6nF, +/-5%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL10B562KP8NNW,General,5.6nF, +/-10%,0603/1608,10Vdc,X7R,0.9mm,Features Normal
CL10C562JB8NNN,General,5.6nF, +/-5%,0603/1608,50Vdc,C0G,0.9mm,Features Normal
CL31C562JEHNNN,General,5.6nF, +/-5%,1206/3216,250Vdc,C0G,1.8mm,Features Normal
CL31C562JHHNNW,General,5.6nF, +/-5%,1206/3216,630Vdc,C0G,1.8mm,Features Normal
CL05B562KB5NFN,General,5.6nF, +/-10%,0402/1005,50Vdc,X7R,0.55mm,Features Normal
CL31C562JBHNNW,General,5.6nF, +/-5%,1206/3216,50Vdc,C0G,1.8mm,Features Normal
CL05B562KA5NNN,General,5.6nF, +/-10%,0402/1005,25Vdc,X7R,0.55mm,Features Normal
CL10B562KB8N4N,General,5.6nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL10B562JB8NNN,General,5.6nF, +/-5%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL10B562KO8NNW,General,5.6nF, +/-10%,0603/1608,16Vdc,X7R,0.9mm,Features Normal
CL31C562JHHNNN,General,5.6nF, +/-5%,1206/3216,630Vdc,C0G,1.8mm,Features Normal
CL10B562KB8NNW,General,5.6nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL05B562KB5NNN,General,5.6nF, +/-10%,0402/1005,50Vdc,X7R,0.55mm,Features Normal
CL10C502JCALNN,General,5nF, +/-5%,0603/1608,100Vdc,C0G,0.65mm,Features Normal
CL31B472KHFNFN,General,4.7nF, +/-10%,1206/3216,630Vdc,X7R,1.4mm,Features Normal
CL31B472KHFNNN,General,4.7nF, +/-10%,1206/3216,630Vdc,X7R,1.4mm,Features Normal
CL31C472JEHNNN,General,4.7nF, +/-5%,1206/3216,250Vdc,C0G,1.8mm,Features Normal
CL10C472JA8NNN,General,4.7nF, +/-5%,0603/1608,25Vdc,C0G,0.9mm,Features Normal
CL05B472KB5NNN,General,4.7nF, +/-10%,0402/1005,50Vdc,X7R,0.55mm,Features Normal
CL05B472KB5NNW,General,4.7nF, +/-10%,0402/1005,50Vdc,X7R,0.55mm,Features Normal
CL31B472KCFNNW,General,4.7nF, +/-10%,1206/3216,100Vdc,X7R,1.4mm,Features Normal
CL03A472KA3NNW,General,4.7nF, +/-10%,0201/0603,25Vdc,X5R,0.33mm,Features Normal
CL05B472KA5NNN,General,4.7nF, +/-10%,0402/1005,25Vdc,X7R,0.55mm,Features Normal
CL05B472KB5S4N,General,4.7nF, +/-10%,0402/1005,50Vdc,X7R,0.55mm,Features Normal
CL10B472KB8NFN,General,4.7nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL10B472KC8NNN,General,4.7nF, +/-10%,0603/1608,100Vdc,X7R,0.9mm,Features Normal
CL32C472JBFNNN,General,4.7nF, +/-5%,1210/3225,50Vdc,C0G,1.45mm,Features Normal
CL05A472KQ5NNW,General,4.7nF, +/-10%,0402/1005,6.3Vdc,X5R,0.55mm,Features Normal
CL05B472JB5NNN,General,4.7nF, +/-5%,0402/1005,50Vdc,X7R,0.55mm,Features Normal
CL10B472KB8N4N,General,4.7nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL03B472KO3NNW,General,4.7nF, +/-10%,0201/0603,16Vdc,X7R,0.33mm,Features Normal
CL03B472KQ3NNW,General,4.7nF, +/-10%,0201/0603,6.3Vdc,X7R,0.33mm,Features Normal
CL31C472JEHNNW,General,4.7nF, +/-5%,1206/3216,250Vdc,C0G,1.8mm,Features Normal
CL10B472KA8NNN,General,4.7nF, +/-10%,0603/1608,25Vdc,X7R,0.9mm,Features Normal
CL03A472KA3NNN,General,4.7nF, +/-10%,0201/0603,25Vdc,X5R,0.33mm,Features Normal
CL05C472JB5NRN,General,4.7nF, +/-5%,0402/1005,50Vdc,C0G,0.65mm,Features Normal
CL31C472JBFNNW,General,4.7nF, +/-5%,1206/3216,50Vdc,C0G,1.4mm,Features Normal
CL31C472JBHNNW,General,4.7nF, +/-5%,1206/3216,50Vdc,C0G,1.8mm,Features Normal
CL10C472JB8NNW,General,4.7nF, +/-5%,0603/1608,50Vdc,C0G,0.9mm,Features Normal
CL10B472KB8NNW,General,4.7nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL10B472KB8SFN,General,4.7nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL10B472KC8NNW,General,4.7nF, +/-10%,0603/1608,100Vdc,X7R,0.9mm,Features Normal
CL05A472KP5NNW,General,4.7nF, +/-10%,0402/1005,10Vdc,X5R,0.55mm,Features Normal
CL03A472KP3NNW,General,4.7nF, +/-10%,0201/0603,10Vdc,X5R,0.33mm,Features Normal
CL10C472JA8NNW,General,4.7nF, +/-5%,0603/1608,25Vdc,C0G,0.9mm,Features Normal
CL05B472KA5NFN,General,4.7nF, +/-10%,0402/1005,25Vdc,X7R,0.55mm,Features Normal
CL31C472JBFNFN,General,4.7nF, +/-5%,1206/3216,50Vdc,C0G,1.4mm,Features Normal
CL10B472JB8N4N,General,4.7nF, +/-5%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL05A472KO5NNW,General,4.7nF, +/-10%,0402/1005,16Vdc,X5R,0.55mm,Features Normal
CL31B472KGFNNW,General,4.7nF, +/-10%,1206/3216,500Vdc,X7R,1.4mm,Features Normal
CL10B472KB8ZNN,General,4.7nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL10B472KA8NNW,General,4.7nF, +/-10%,0603/1608,25Vdc,X7R,0.9mm,Features Normal
CL10B472KB8NNN,General,4.7nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL05A472KA5NNW,General,4.7nF, +/-10%,0402/1005,25Vdc,X5R,0.55mm,Features Normal
CL03A472KP3NNN,General,4.7nF, +/-10%,0201/0603,10Vdc,X5R,0.33mm,Features Normal
CL05B472KB5NFN,General,4.7nF, +/-10%,0402/1005,50Vdc,X7R,0.55mm,Features Normal
CL31B472KHFNNW,General,4.7nF, +/-10%,1206/3216,630Vdc,X7R,1.4mm,Features Normal
CL31B472KIHZNW,General,4.7nF, +/-10%,1206/3216,1000Vdc,X7R,1.8mm,Features Normal
CL05B472KQ5NNW,General,4.7nF, +/-10%,0402/1005,6.3Vdc,X7R,0.55mm,Features Normal
CL31C472JHHNNW,General,4.7nF, +/-5%,1206/3216,630Vdc,C0G,1.8mm,Features Normal
CL05B472JB5NNW,General,4.7nF, +/-5%,0402/1005,50Vdc,X7R,0.55mm,Features Normal
CL05B472KA5NNW,General,4.7nF, +/-10%,0402/1005,25Vdc,X7R,0.55mm,Features Normal
CL05B472KO5NNW,General,4.7nF, +/-10%,0402/1005,16Vdc,X7R,0.55mm,Features Normal
CL32C472JBFNNW,General,4.7nF, +/-5%,1210/3225,50Vdc,C0G,1.45mm,Features Normal
CL10C472JB8NNN,General,4.7nF, +/-5%,0603/1608,50Vdc,C0G,0.9mm,Features Normal
CL10C472JC8NNW,General,4.7nF, +/-5%,0603/1608,100Vdc,C0G,0.9mm,Features Normal
CL31B472KGFNFN,General,4.7nF, +/-10%,1206/3216,500Vdc,X7R,1.4mm,Features Normal
CL03B472KA3NNW,General,4.7nF, +/-10%,0201/0603,25Vdc,X7R,0.33mm,Features Normal
CL03B472KP3NNW,General,4.7nF, +/-10%,0201/0603,10Vdc,X7R,0.33mm,Features Normal
CL10C472JC8N4N,General,4.7nF, +/-5%,0603/1608,100Vdc,C0G,0.9mm,Features Normal
CL03B472KQ3NNN,General,4.7nF, +/-10%,0201/0603,6.3Vdc,X7R,0.33mm,Features Normal
CL05A472KB5NNW,General,4.7nF, +/-10%,0402/1005,50Vdc,X5R,0.55mm,Features Normal
CL10B472KC8SNN,General,4.7nF, +/-10%,0603/1608,100Vdc,X7R,0.9mm,Features Normal
CL05B392KB5NNN,General,3.9nF, +/-10%,0402/1005,50Vdc,X7R,0.55mm,Features Normal
CL31C392JHHNNW,General,3.9nF, +/-5%,1206/3216,630Vdc,C0G,1.8mm,Features Normal
CL31C392JBHNNW,General,3.9nF, +/-5%,1206/3216,50Vdc,C0G,1.8mm,Features Normal
CL31C392JEHNNW,General,3.9nF, +/-5%,1206/3216,250Vdc,C0G,1.8mm,Features Normal
CL31C392JBFNNW,General,3.9nF, +/-5%,1206/3216,50Vdc,C0G,1.4mm,Features Normal
CL31C392JBFNNN,General,3.9nF, +/-5%,1206/3216,50Vdc,C0G,1.4mm,Features Normal
CL05B392KA5NNW,General,3.9nF, +/-10%,0402/1005,25Vdc,X7R,0.55mm,Features Normal
CL10C392JA8NNW,General,3.9nF, +/-5%,0603/1608,25Vdc,C0G,0.9mm,Features Normal
CL10C392JA8NNN,General,3.9nF, +/-5%,0603/1608,25Vdc,C0G,0.9mm,Features Normal
CL05B392KB5NNW,General,3.9nF, +/-10%,0402/1005,50Vdc,X7R,0.55mm,Features Normal
CL31C392JEHNNN,General,3.9nF, +/-5%,1206/3216,250Vdc,C0G,1.8mm,Features Normal
CL10C392JC8NNN,General,3.9nF, +/-5%,0603/1608,100Vdc,C0G,0.9mm,Features Normal
CL10C392JC8NNW,General,3.9nF, +/-5%,0603/1608,100Vdc,C0G,0.9mm,Features Normal
CL10B392KB8NNW,General,3.9nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL31C392JCHNNN,General,3.9nF, +/-5%,1206/3216,100Vdc,C0G,1.8mm,Features Normal
CL10B392KB8NFN,General,3.9nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL10B392KB8NNN,General,3.9nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL31C392JCHNNW,General,3.9nF, +/-5%,1206/3216,100Vdc,C0G,1.8mm,Features Normal
CL31C332JHHNNN,General,3.3nF, +/-5%,1206/3216,630Vdc,C0G,1.8mm,Features Normal
CL05B332KB5NNW,General,3.3nF, +/-10%,0402/1005,50Vdc,X7R,0.55mm,Features Normal
CL05B332KA5NNW,General,3.3nF, +/-10%,0402/1005,25Vdc,X7R,0.55mm,Features Normal
CL31B332KGFNNW,General,3.3nF, +/-10%,1206/3216,500Vdc,X7R,1.4mm,Features Normal
CL05B332JA5NNN,General,3.3nF, +/-5%,0402/1005,25Vdc,X7R,0.55mm,Features Normal
CL05B332JA5NNW,General,3.3nF, +/-5%,0402/1005,25Vdc,X7R,0.55mm,Features Normal
CL31B332KCCNNW,General,3.3nF, +/-10%,1206/3216,100Vdc,X7R,1mm,Features Normal
CL10C332JB8N4N,General,3.3nF, +/-5%,0603/1608,50Vdc,C0G,0.9mm,Features Normal
CL10B332KC8NNN,General,3.3nF, +/-10%,0603/1608,100Vdc,X7R,0.9mm,Features Normal
CL10B332KB8N4N,General,3.3nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL10C332JB8NFN,General,3.3nF, +/-5%,0603/1608,50Vdc,C0G,0.9mm,Features Normal
CL05B332KB5NNN,General,3.3nF, +/-10%,0402/1005,50Vdc,X7R,0.55mm,Features Normal
CL03B332KO3NNW,General,3.3nF, +/-10%,0201/0603,16Vdc,X7R,0.33mm,Features Normal
CL03A332KP3NNW,General,3.3nF, +/-10%,0201/0603,10Vdc,X5R,0.33mm,Features Normal
CL10B332KB8NFN,General,3.3nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL10B332KB8NNN,General,3.3nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL10C332JB8NNN,General,3.3nF, +/-5%,0603/1608,50Vdc,C0G,0.9mm,Features Normal
CL31B332KBCNNW,General,3.3nF, +/-10%,1206/3216,50Vdc,X7R,1mm,Features Normal
CL05B332KB5NFN,General,3.3nF, +/-10%,0402/1005,50Vdc,X7R,0.55mm,Features Normal
CL10C332JB8NNW,General,3.3nF, +/-5%,0603/1608,50Vdc,C0G,0.9mm,Features Normal
CL32C332JBFNNW,General,3.3nF, +/-5%,1210/3225,50Vdc,C0G,1.45mm,Features Normal
CL31C332JHHNFN,General,3.3nF, +/-5%,1206/3216,630Vdc,C0G,1.8mm,Features Normal
CL31B332KHFNNW,General,3.3nF, +/-10%,1206/3216,630Vdc,X7R,1.4mm,Features Normal
CL31B332KCCNNN,General,3.3nF, +/-10%,1206/3216,100Vdc,X7R,1mm,Features Normal
CL05B332JB5NNW,General,3.3nF, +/-5%,0402/1005,50Vdc,X7R,0.55mm,Features Normal
CL03B332KP3NNN,General,3.3nF, +/-10%,0201/0603,10Vdc,X7R,0.33mm,Features Normal
CL03B332KP3NNW,General,3.3nF, +/-10%,0201/0603,10Vdc,X7R,0.33mm,Features Normal
CL03B332KA3NNW,General,3.3nF, +/-10%,0201/0603,25Vdc,X7R,0.33mm,Features Normal
CL10B332KC8NNW,General,3.3nF, +/-10%,0603/1608,100Vdc,X7R,0.9mm,Features Normal
CL10B332MB8NNW,General,3.3nF, +/-20%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL03B332KQ3NNW,General,3.3nF, +/-10%,0201/0603,6.3Vdc,X7R,0.33mm,Features Normal
CL31C332JHHNNW,General,3.3nF, +/-5%,1206/3216,630Vdc,C0G,1.8mm,Features Normal
CL31B332KCFNNW,General,3.3nF, +/-10%,1206/3216,100Vdc,X7R,1.4mm,Features Normal
CL31B332KHFSFN,General,3.3nF, +/-10%,1206/3216,630Vdc,X7R,1.4mm,Features Normal
CL31B332KBCNNN,General,3.3nF, +/-10%,1206/3216,50Vdc,X7R,1mm,Features Normal
CL32C332JBFNNN,General,3.3nF, +/-5%,1210/3225,50Vdc,C0G,1.45mm,Features Normal
CL31B332KGFNFN,General,3.3nF, +/-10%,1206/3216,500Vdc,X7R,1.4mm,Features Normal
CL10C332JA8NNN,General,3.3nF, +/-5%,0603/1608,25Vdc,C0G,0.9mm,Features Normal
CL10B332MB8NNN,General,3.3nF, +/-20%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL31C332JBFNNW,General,3.3nF, +/-5%,1206/3216,50Vdc,C0G,1.4mm,Features Normal
CL31C332JEHNNN,General,3.3nF, +/-5%,1206/3216,250Vdc,C0G,1.8mm,Features Normal
CL10B332KB8NNW,General,3.3nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL10C332JA8NNW,General,3.3nF, +/-5%,0603/1608,25Vdc,C0G,0.9mm,Features Normal
CL05B332KO5NNW,General,3.3nF, +/-10%,0402/1005,16Vdc,X7R,0.55mm,Features Normal
CL31C332JBFNNN,General,3.3nF, +/-5%,1206/3216,50Vdc,C0G,1.4mm,Features Normal
CL03A332KA3NNW,General,3.3nF, +/-10%,0201/0603,25Vdc,X5R,0.33mm,Features Normal
CL10B272JB8NNW,General,2.7nF, +/-5%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL05B272KB5NNN,General,2.7nF, +/-10%,0402/1005,50Vdc,X7R,0.55mm,Features Normal
CL31C272JHHNNW,General,2.7nF, +/-5%,1206/3216,630Vdc,C0G,1.8mm,Features Normal
CL10B272KB8N4N,General,2.7nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL10B272KB8NNN,General,2.7nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL10B272KB8SNW,General,2.7nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL31B272KBCNNW,General,2.7nF, +/-10%,1206/3216,50Vdc,X7R,1mm,Features Normal
CL10B272KB8NNW,General,2.7nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL10C272JB8NFN,General,2.7nF, +/-5%,0603/1608,50Vdc,C0G,0.9mm,Features Normal
CL10C272JB8NNW,General,2.7nF, +/-5%,0603/1608,50Vdc,C0G,0.9mm,Features Normal
CL03B272KA3NNW,General,2.7nF, +/-10%,0201/0603,25Vdc,X7R,0.33mm,Features Normal
CL05B272KB5NNW,General,2.7nF, +/-10%,0402/1005,50Vdc,X7R,0.55mm,Features Normal
CL10C272JB8NNN,General,2.7nF, +/-5%,0603/1608,50Vdc,C0G,0.9mm,Features Normal
CL10B272KB8SFN,General,2.7nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL31C272JHHNNN,General,2.7nF, +/-5%,1206/3216,630Vdc,C0G,1.8mm,Features Normal
CL31B272KBCNNN,General,2.7nF, +/-10%,1206/3216,50Vdc,X7R,1mm,Features Normal
CL31C272JBHNNW,General,2.7nF, +/-5%,1206/3216,50Vdc,C0G,1.8mm,Features Normal
CL10B272JB8NNN,General,2.7nF, +/-5%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL10B272KB8NFN,General,2.7nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL31B222KIFNFN,General,2.2nF, +/-10%,1206/3216,1000Vdc,X7R,1.4mm,Features Normal
CL31C222JGHNNN,General,2.2nF, +/-5%,1206/3216,500Vdc,C0G,1.8mm,Features Normal
CL05A222KQ5NNW,General,2.2nF, +/-10%,0402/1005,6.3Vdc,X5R,0.55mm,Features Normal
CL05A222KB5NNW,General,2.2nF, +/-10%,0402/1005,50Vdc,X5R,0.55mm,Features Normal
CL03A222KA3NNW,General,2.2nF, +/-10%,0201/0603,25Vdc,X5R,0.33mm,Features Normal
CL10B222KB8N4N,General,2.2nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL03B222KQ3NNW,General,2.2nF, +/-10%,0201/0603,6.3Vdc,X7R,0.33mm,Features Normal
CL03A222KO3NNW,General,2.2nF, +/-10%,0201/0603,16Vdc,X5R,0.33mm,Features Normal
CL03A222KP3NNN,General,2.2nF, +/-10%,0201/0603,10Vdc,X5R,0.33mm,Features Normal
CL03A222KP3NNW,General,2.2nF, +/-10%,0201/0603,10Vdc,X5R,0.33mm,Features Normal
CL10C222GO8NNN,General,2.2nF, +/-2%,0603/1608,16Vdc,C0G,0.9mm,Features Normal
CL10C222JB8NFN,General,2.2nF, +/-5%,0603/1608,50Vdc,C0G,0.9mm,Features Normal
CL05B222KO5NNW,General,2.2nF, +/-10%,0402/1005,16Vdc,X7R,0.55mm,Features Normal
CL03B222KP3NNW,General,2.2nF, +/-10%,0201/0603,10Vdc,X7R,0.33mm,Features Normal
CL10C222JA8NNW,General,2.2nF, +/-5%,0603/1608,25Vdc,C0G,0.9mm,Features Normal
CL10C222JO8NNN,General,2.2nF, +/-5%,0603/1608,16Vdc,C0G,0.9mm,Features Normal
CL10C222JO8NNW,General,2.2nF, +/-5%,0603/1608,16Vdc,C0G,0.9mm,Features Normal
CL31C222JCCNNW,General,2.2nF, +/-5%,1206/3216,100Vdc,C0G,1mm,Features Normal
CL31C222JHHNFN,General,2.2nF, +/-5%,1206/3216,630Vdc,C0G,1.8mm,Features Normal
CL31C222JHHNNN,General,2.2nF, +/-5%,1206/3216,630Vdc,C0G,1.8mm,Features Normal
CL31C222JBCNNW,General,2.2nF, +/-5%,1206/3216,50Vdc,C0G,1mm,Features Normal
CL31C222JCCNNN,General,2.2nF, +/-5%,1206/3216,100Vdc,C0G,1mm,Features Normal
CL05B222KQ5NNW,General,2.2nF, +/-10%,0402/1005,6.3Vdc,X7R,0.55mm,Features Normal
CL03B222KA3NNW,General,2.2nF, +/-10%,0201/0603,25Vdc,X7R,0.33mm,Features Normal
CL05B222KB5NNW,General,2.2nF, +/-10%,0402/1005,50Vdc,X7R,0.55mm,Features Normal
CL31B222KCFNNW,General,2.2nF, +/-10%,1206/3216,100Vdc,X7R,1.4mm,Features Normal
CL31B222KIFNNW,General,2.2nF, +/-10%,1206/3216,1000Vdc,X7R,1.4mm,Features Normal
CL31B222KDCNFN,General,2.2nF, +/-10%,1206/3216,200Vdc,X7R,1mm,Features Normal
CL31B222KDCNNW,General,2.2nF, +/-10%,1206/3216,200Vdc,X7R,1mm,Features Normal
CL10B222JB8N4N,General,2.2nF, +/-5%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL10B222KC8NNW,General,2.2nF, +/-10%,0603/1608,100Vdc,X7R,0.9mm,Features Normal
CL31C222JEHNNW,General,2.2nF, +/-5%,1206/3216,250Vdc,C0G,1.8mm,Features Normal
CL31B222KCCNNN,General,2.2nF, +/-10%,1206/3216,100Vdc,X7R,1mm,Features Normal
CL10C222JB8NNW,General,2.2nF, +/-5%,0603/1608,50Vdc,C0G,0.9mm,Features Normal
CL05B222JB5NNW,General,2.2nF, +/-5%,0402/1005,50Vdc,X7R,0.55mm,Features Normal
CL03B222KO3NNW,General,2.2nF, +/-10%,0201/0603,16Vdc,X7R,0.33mm,Features Normal
CL05B222KA5NNW,General,2.2nF, +/-10%,0402/1005,25Vdc,X7R,0.55mm,Features Normal
CL10B222KB8NFN,General,2.2nF, +/-10%,0603/1608,50Vdc,X7R,0.9mm,Features Normal
CL31B222KGFNNW,General,2.2nF, +/-10%,1206/3216,500Vdc,X7R,1.4mm,Features Normal
CL31B222KHFNFN,General,2.2nF, +/-10%,1206/3216,630Vdc,X7R,1.4mm,Features Normal
CL31B222KHFNNW,General,2.2nF, +/-10%,1206/3216,630Vdc,X7R,1.4mm,Features Normal
CL31C222JBCNNN,General,2.2nF, +/-5%,1206/3216,50Vdc,C0G,1mm,Features Normal
CL31C222JBHNNW,General,2.2nF, +/-5%,1206/3216,50Vdc,C0G,1.8mm,Features Normal
CL10C222JA8NNN,General,2.2nF, +/-5%,0603/1608,25Vdc,C0G,0.9mm,Features Normal
CL05A222KP5NNW,General,2.2nF, +/-10%,0402/1005,10Vdc,X5R,0.55mm,Features Normal
CL05B222KB5NFN,General,2.2nF, +/-10%,0402/1005,50Vdc,X7R,0.55mm,Features Normal
CL05A222KO5NNW,General,2.2nF, +/-10%,0402/1005,16Vdc,X5R,0.55mm,Features Normal
CL31C222JEHNNN,General,2.2nF, +/-5%,1206/3216,250Vdc,C0G,1.8mm,Features Normal
CL31C222JGHNNW,General,2.2nF, +/-5%,1206/3216,500Vdc,C0G,1.8mm,Features Normal
